#{"t_start": 1660176002.0609698, "env_id": null}
r,l,t
0.065157,14,2905.924057
0.063828,14,2907.057036
0.062964,14,2908.149699
0.059268,16,2909.55853
0.071543,20,2911.415068
0.07263,17,2913.04195
0.062748,19,2914.781132
0.07112,16,2916.003522
0.063169,14,2917.412483
0.072511,14,2918.547818
0.079213,15,2919.982152
0.049893,14,2921.283429
0.071886,14,2922.433611
0.061853,12,2923.36766
0.06466,12,2924.333827
0.063388,11,2925.212105
0.066963,12,2926.157405
0.064177,12,2927.110663
0.06513,12,2928.041282
0.059716,13,2929.049511
0.068804,13,2930.04847
0.055257,12,2930.964003
0.071313,13,2931.978446
0.067876,13,2932.969145
0.061472,13,2933.974153
0.057694,13,2934.950202
0.056183,13,2935.921467
0.058605,12,2936.839684
0.060096,13,2937.843584
0.066994,14,2938.881741
0.067233,14,2939.931058
0.061313,13,2940.908998
0.067851,14,2941.984607
0.07561,14,2943.09161
0.067914,14,2944.118664
0.072402,14,2945.164503
0.075547,14,2946.224746
0.065553,12,2947.134154
0.067936,13,2948.096271
0.069721,13,2949.09069
0.072607,14,2950.164831
0.068103,14,2951.212656
0.069308,15,2952.331316
0.069328,15,2953.46647
0.061979,14,2954.470742
0.057961,13,2955.426921
0.06723,15,2956.475512
0.071873,15,2957.560291
0.066898,15,2958.645921
0.063376,16,2959.739297
0.062839,16,2960.811565
0.065709,16,2961.927271
0.066347,16,2963.05708
0.069007,16,2964.22892
0.076916,17,2965.518359
0.075303,17,2966.802002
0.068305,18,2968.206707
0.069394,17,2969.434655
0.074652,19,2970.885017
0.070642,19,2972.313375
0.076044,20,2974.04029
0.076507,21,2976.031286
0.081527,23,2978.152322
0.078588,34,2980.954878
0.048865,34,2983.556981
0.070046,35,2985.634085
0.071063,35,2987.843681
0.06923,35,2990.071016
0.067283,31,2992.076827
0.064734,28,2993.895255
0.064784,30,2995.845552
0.06537,33,2998.117229
0.056836,28,3000.519299
0.072777,29,3002.847887
0.064861,35,3005.572521
0.082661,30,3008.177697
0.060896,26,3010.1348
0.071407,23,3011.795444
0.080736,23,3013.65531
0.074124,18,3014.951934
0.056899,18,3016.541266
0.072153,17,3017.805017
0.076978,16,3019.191993
0.071783,17,3020.476254
0.07439,18,3021.925175
0.052836,18,3023.431437
0.073866,20,3024.906016
0.068134,18,3026.217667
0.074533,18,3027.539625
0.058072,18,3028.909895
0.051308,20,3030.489707
0.061612,20,3032.279637
0.065722,20,3033.898283
0.077116,23,3035.881988
0.049189,20,3037.759983
0.048258,20,3039.71375
0.111626,33,3045.358719
0.056064,25,3047.608278
0.071392,26,3049.839567
