#{"t_start": 1659900230.942536, "env_id": null}
r,l,t
5.136648,35,2961.018616
8.182482,67,2971.070454
7.544177,40,2977.154811
6.452305,42,2983.615663
4.100914,35,2988.759667
15.17189,36,2994.169867
12.08882,48,3000.944151
16.158912,50,3007.984633
10.881338,33,3012.594621
24.397315,75,3022.81882
17.593603,52,3029.953357
0.821979,42,3035.817995
1.849123,38,3041.259193
11.15853,44,3047.516485
17.877408,36,3052.628476
14.021603,46,3059.59047
2.743785,43,3066.019975
6.334722,50,3073.671984
0.040134,33,3078.164574
0.032268,41,3083.895949
0.043523,33,3088.411852
0.04029,39,3094.026328
0.033939,36,3099.32677
0.037622,37,3105.214267
0.047063,39,3111.056485
0.039067,39,3116.749039
0.037969,40,3122.51947
0.035312,52,3130.160732
0.027656,62,3140.019947
0.036809,68,3150.298214
0.034432,43,3156.987039
0.032431,40,3163.542305
0.032044,41,3169.846463
0.03279,76,3181.73227
0.06864,179,3215.30838
0.037378,77,3227.022027
0.021649,47,3234.000048
0.028497,45,3241.480968
0.023301,37,3247.518463
0.030219,41,3253.790545
0.034535,45,3260.266489
0.030867,43,3267.198369
0.027356,35,3272.72765
0.041102,56,3281.656891
0.029162,66,3292.414191
0.033811,44,3299.517919
0.03787,46,3306.354656
0.024039,43,3312.877657
0.033812,42,3319.275709
0.027048,84,3333.623261
0.027939,59,3342.892217
0.039753,74,3354.481222
0.027439,111,3375.181889
0.033789,68,3386.362878
0.034116,61,3396.398795
0.034602,29,3400.946444
0.025108,20,3403.816092
0.035165,21,3406.842255
0.031607,21,3410.041657
0.0266,21,3413.507279
0.039056,21,3416.794981
0.029067,22,3420.030648
0.032706,23,3423.511775
0.024938,23,3426.788765
0.037152,22,3430.034905
0.037417,22,3433.359719
0.026461,21,3436.48013
0.032519,22,3439.694604
0.036683,20,3442.627185
0.022507,19,3445.32406
0.022221,18,3447.990387
0.022309,18,3450.687409
0.021404,16,3453.165171
0.02154,14,3455.391309
0.021553,16,3458.025591
0.022569,17,3460.644424
0.021707,16,3463.058991
0.022591,16,3465.385345
0.040259,17,3467.967501
0.022474,16,3470.444942
0.025363,19,3473.471649
