#{"t_start": 1660390189.2285695, "env_id": null}
r,l,t
24.454298,208,2860.476041
10.549053,39,2865.435591
13.149469,38,2870.04347
14.862967,44,2872.337713
17.778977,52,2875.189444
16.891805,48,2877.629114
18.371419,48,2880.299291
12.345086,44,2882.653686
17.361921,27,2884.846075
18.60249,44,2887.113159
10.207794,29,2889.212453
15.950823,46,2891.809701
17.144553,45,2894.140921
13.915931,41,2899.200697
20.844226,51,2905.107416
33.775636,103,2919.248256
15.096991,52,2922.299841
16.052205,43,2924.691569
16.911021,50,2927.365422
13.530411,51,2930.553796
12.681065,43,2933.423531
12.859561,50,2939.070849
37.489042,80,2948.217154
42.876121,74,2955.774541
16.86756,56,2963.512903
29.436741,75,2974.293781
26.858801,44,2980.290379
42.978277,78,2991.345791
17.126429,45,2993.881809
16.34881,56,2997.240286
17.530635,51,3003.795141
14.390893,56,3006.881226
18.126563,53,3012.474622
18.540363,53,3015.969867
17.692398,61,3019.880703
10.603341,53,3025.005607
13.721558,65,3031.49406799999
17.715547,60,3039.989719
25.681948,79,3047.305363
61.391275,96,3053.870492
9.713315,53,3056.954955
10.912956,59,3060.068062
11.818723,66,3063.778259
12.544789,65,3072.496872
12.365323,66,3076.839329
21.019627,77,3085.792372
10.14303,53,3088.563703
9.973515,57,3091.727543
15.339672,65,3098.166141
10.950572,65,3104.661966
12.81085,68,3108.495925
15.034978,56,3114.410047
15.897362,59,3118.512037
25.505038,94,3132.819472
15.323402,59,3141.855275
18.637975,64,3150.047492
9.54551,53,3155.425695
13.836748,51,3159.215572
33.783474,64,3166.515778
32.285745,65,3172.026847
16.743554,52,3175.881102
16.173688,50,3179.478913
15.64734,50,3182.849965
12.052495,55,3186.8969
15.451801,49,3189.98313
16.279826,49,3192.633034
19.16512,53,3195.8899
12.653479,52,3199.234559
11.794963,54,3203.09557
18.430301,52,3207.107374
15.565932,49,3210.220941
37.372107,84,3220.23702
17.919833,52,3223.804834
17.349065,68,3231.107306
18.855009,58,3234.564331
19.625752,63,3243.014919
24.734751,65,3251.647266
12.491875,53,3255.386488
18.13228,62,3260.360561
14.821927,56,3264.570339
16.285724,56,3268.329496
16.288694,54,3271.600591
15.932056,56,3276.208971
16.208176,67,3280.822737
17.097458,68,3286.423672
12.653114,62,3291.340854
14.916177,61,3295.614081
19.667414,66,3300.048288
10.268125,58,3303.797554
14.284279,60,3308.197072
10.393365,54,3312.336703
11.37192,62,3316.638937
14.560696,52,3320.565856
17.495186,58,3324.98675999999
10.81099,60,3329.420319
13.927229,55,3332.725154
23.334752,66,3337.741777
16.701485,52,3341.308022
15.329952,52,3344.551408
19.114479,56,3348.726688
19.234729,27,3351.240354
17.141273,48,3355.570662
16.236423,54,3359.857444
12.347794,42,3362.118508
18.778456,55,3367.020472
16.483841,48,3370.729183
15.420555,62,3376.858165
18.586593,45,3379.263453
15.677396,41,3381.536187
17.767403,45,3384.143008
15.480111,64,3390.871734
17.379677,44,3393.662151
16.588358,46,3397.768318
14.355048,44,3400.988575
15.875873,43,3404.281027
12.280992,39,3407.112073
12.82177,64,3413.285497
10.789437,40,3416.134125
29.711659,73,3425.604324
23.607435,82,3435.127748
10.204306,54,3441.573513
19.269757,49,3444.823681
15.852539,60,3452.34271
15.704993,56,3459.384465
16.259778,57,3466.199673
18.17292,56,3472.34395
28.31746,60,3479.177404
13.657625,54,3483.590678
15.496354,58,3489.564657
9.842792,40,3492.749084
26.839077,62,3500.204983
20.324968,53,3505.151945
15.128548,53,3510.386263
20.448743,70,3519.196276
17.708299,63,3527.722894
16.114831,55,3531.539954
13.20037,52,3536.607544
16.241701,53,3542.717355
16.574785,57,3550.118226
12.685063,57,3557.384625
17.152424,33,3561.888951
13.898205,51,3568.106359
19.297642,47,3572.317685
35.347947,85,3586.027003
21.069501,60,3592.515676
19.002899,53,3599.771709
10.221627,57,3607.554652
10.35406,56,3612.783305
11.94617,57,3618.615176
13.832906,55,3623.854058
33.710008,69,3629.858411
15.037286,56,3635.181621
19.937819,60,3640.585711
9.71188,57,3645.420878
12.138432,62,3650.928651
18.05815,62,3657.046333
11.679067,57,3661.782661
13.495138,52,3665.356301
16.064258,55,3672.586682
46.421858,75,3682.354288
14.3837,58,3688.938387
13.085814,56,3695.833279
11.072096,54,3701.261783
20.435036,54,3706.126928
17.12721,50,3711.469276
10.245884,56,3716.805451
16.649547,60,3723.236591
18.728543,63,3728.468384
14.179066,54,3733.939933
14.762255,53,3738.98643
18.595239,56,3744.476824
15.334599,53,3748.540637
12.540162,84,3756.906213
6.675446,59,3761.762782
16.119967,60,3766.652339
18.805608,63,3772.761403
8.985503,56,3778.294373
18.776417,73,3790.042135
17.510769,61,3797.391754
13.014653,62,3803.336781
10.472504,58,3809.468892
13.844294,63,3816.365623
12.788687,54,3821.083295
15.197909,51,3826.656606
17.850787,51,3832.097019
15.509759,61,3839.874399
11.321521,53,3845.133533
20.942545,62,3852.748524
33.362806,62,3861.189619
12.484671,49,3864.117388
12.988719,29,3866.343687
39.51868,78,3876.704022
11.711749,60,3885.656178
10.074999,54,3889.488403
26.289703,58,3896.780006
15.10607,57,3903.592505
16.02849,60,3910.24561
18.978862,58,3914.087229
15.610075,53,3917.079864
12.657211,53,3924.240965
14.966156,52,3930.810713
13.130897,51,3934.559633
18.955252,63,3941.506046
24.300032,62,3946.455343
13.874061,57,3952.227448
18.669136,55,3958.674891
14.652067,44,3962.106854
15.098257,49,3966.98843
15.116578,57,3973.515015
13.767025,55,3978.490168
11.277131,55,3982.960319
15.578321,43,3985.532058
13.402438,43,3988.09566
17.528199,64,3995.152197
18.373353,54,3998.587933
11.756585,50,4001.945014
19.166388,43,4005.144493
17.194811,44,4007.70429
19.140938,44,4010.045711
15.77385,44,4012.797535
19.912994,58,4017.298512
14.665973,52,4021.669088
14.594447,52,4025.386756
14.595293,56,4030.534455
15.534347,68,4037.693705
