#{"t_start": 1660637426.3153293, "env_id": null}
r,l,t
19.529377,95,28.860305
11.728171,93,48.976491
18.53288,169,69.137175
4.366405,18,70.952628
41.880614,400,122.058184
18.578447,188,144.820177
48.593532,400,197.59886
46.273193,381,255.265324
76.928959,553,500.85318
24.949399,226,524.398359
6.665582,49,528.391102
8.853683,51,532.845912
4.142322,25,535.04015
1.596381,16,536.28127
1.776847,18,537.825678
1.78088,13,538.992209
1.829547,18,540.437129
2.377279,22,542.227958
2.340898,18,543.764392
2.249249,17,545.184009
3.272224,28,547.512642
3.413473,26,549.856316
2.305694,19,551.497489
3.961702,31,554.143033
5.968669,47,558.274402
44.355942,400,608.577804
26.1636,191,629.453311
20.966716,239,661.845846
21.992006,186,683.900216
25.4146,163,826.37007
36.348567,238,861.580128
35.613777,273,906.337263
28.837595,291,944.915472
22.953129,194,969.141303
17.32278,150,992.429732
28.104613,142,1009.591619
28.817865,220,1038.496294
16.906026,186,1065.030468
17.213489,74,1072.376708
51.23981,344,1129.324986
6.650406,22,1131.735174
23.707932,178,1154.306115
21.050457,170,1178.16966
17.69536,141,1194.801131
28.349794,188,1220.71235
18.783333,152,1239.719689
19.119732,100,1252.360629
21.856843,139,1269.317221
8.708093,99,1277.279163
1.303204,13,1278.131374
1.129125,13,1279.008568
0.883213,12,1279.829208
1.10566,13,1280.777225
1.054468,13,1281.684388
1.715598,19,1282.91495
1.151229,15,1283.890468
0.872086,13,1284.854031
1.912108,18,1286.139756
1.723233,19,1287.49638
1.65849,20,1288.989264
1.519828,17,1290.115745
2.192012,22,1291.807525
4.600573,57,1296.162714
9.111702,76,1305.608932
4.877465,36,1310.778452
3.50137,22,1312.433121
4.271434,23,1314.245223
5.999177,29,1316.360201
5.934274,33,1319.284903
5.01351,26,1321.351307
6.558561,32,1325.081507
7.826411,36,1328.049128
15.520591,80,1337.285684
18.059899,123,1348.542755
10.275795,73,1354.949393
1.578622,16,1356.047267
2.725788,28,1358.017798
2.425203,29,1359.927022
2.314947,32,1362.024023
1.645209,19,1363.304985
1.558481,21,1364.710474
3.583079,31,1367.028892
2.646864,26,1368.894377
2.452186,27,1370.805068
7.175683,62,1375.210481
2.145426,21,1376.712411
3.741452,44,1379.791465
7.138279,63,1384.386074
8.283955,37,1387.43919
3.761156,22,1389.209576
8.621583,81,1398.75094
12.564015,113,1414.798591
14.501759,100,1424.471254
9.316102,79,1433.9741
14.028455,79,1442.10893
9.194607,45,1445.239103
11.561744,70,1450.771449
1.169942,6,1451.660144
13.755502,53,1454.777812
22.831202,89,1460.878381
7.797688,33,1463.154366
7.065435,31,1465.897339
16.018596,400,1550.977683
4.701794,36,1554.119949
2.724422,16,1556.240798
4.048406,20,1558.241352
6.491209,48,1598.582856
3.012403,24,1601.792495
4.754915,43,1608.291726
9.653407,116,1622.185295
3.028547,25,1624.164764
1.930628,24,1625.854217
2.283634,23,1627.586957
2.449122,25,1629.377712
1.347429,14,1630.430841
1.579477,17,1631.633315
1.427883,14,1632.593524
1.597898,20,1633.913906
1.529191,15,1635.024936
2.300159,21,1636.537334
12.508571,86,1643.768318
1.350967,23,1645.177895
3.287928,65,1649.506504
21.46263,330,1679.45728
11.444863,146,1696.585389
9.601269,42,1701.502004
7.666121,58,1706.433066
7.170641,70,1715.422967
8.656504,98,1729.328302
9.876513,104,1743.79303
20.685857,114,1757.458651
19.528536,177,1776.805485
15.035087,91,1785.055897
12.777276,114,1799.553351
28.796749,224,1849.315654
15.656648,164,1870.932454
10.694257,90,1879.920423
10.495149,80,1886.367826
7.795496,58,1891.902958
15.345013,136,1902.631263
9.817849,65,1907.649065
5.668222,47,1911.319766
5.111565,45,1914.846412
9.481967,102,1925.589118
11.126144,100,1935.117384
25.249076,199,1962.254309
16.071525,163,1979.174764
4.197357,27,1982.371499
9.782757,67,1990.591758
16.537386,107,2002.236315
14.484424,80,2010.127465
10.969286,80,2017.847594
12.327067,88,2026.316042
14.238977,102,2037.88847
22.474106,116,2065.608793
9.93293,68,2071.662395
15.683708,86,2078.115491
21.772998,259,2100.420788
12.335098,73,2105.102307
9.753684,76,2110.533535
11.075576,77,2115.371852
7.991762,56,2118.695766
9.050109,52,2122.370619
5.005855,34,2124.901226
5.418478,33,2127.495943
2.755883,29,2129.3122
1.990964,24,2130.744828
1.735096,23,2132.114968
1.778116,24,2133.470585
1.807918,24,2135.830147
2.03724,26,2138.002327
2.062016,27,2140.441331
2.013858,31,2143.126372
2.17044,34,2146.196165
2.472269,33,2149.245754
3.767052,46,2154.210262
3.807351,57,2157.988086
4.16854,55,2161.77302
15.617326,321,2225.280161
3.135779,45,2227.965343
4.380296,36,2230.156456
3.988178,26,2231.852494
2.894902,23,2233.338018
3.943976,30,2235.009603
1.501932,25,2236.475902
1.044611,19,2237.572198
1.114414,21,2238.819459
1.068954,22,2240.114996
1.966223,36,2242.100845
1.358018,28,2243.691898
1.112038,20,2244.838604
1.05322,20,2246.037764
2.50483,44,2250.423007
1.637664,27,2252.030047
1.73292,30,2253.759771
2.854587,37,2255.928425
3.620567,42,2258.554334
6.176996,54,2262.540711
4.148921,47,2265.738212
1.600337,39,2267.986949
25.28064,303,2285.452962
10.143051,164,2294.026084
7.35556,92,2299.191847
6.049554,34,2301.299305
5.638848,34,2303.328846
9.898037,38,2305.560134
10.199542,40,2307.876742
5.149162,34,2309.925613
9.055883,38,2312.219707
7.495273,36,2314.694528
2.67089,30,2316.461588
3.081587,28,2318.086746
3.004261,27,2319.572478
2.938755,29,2321.153163
3.521413,28,2322.684358
12.456631,136,2340.289013
3.337893,32,2343.1624
2.861056,24,2345.421844
4.024942,26,2348.131058
2.784782,23,2349.992114
2.369453,18,2351.694917
4.347315,33,2354.739184
1.996433,18,2356.240759
1.550459,14,2357.390359
1.993231,14,2358.67484
1.727838,14,2359.855805
1.699236,13,2360.946087
1.068744,14,2361.874206
1.256796,14,2362.785267
1.031611,14,2363.663957
1.023932,14,2364.514708
1.005087,13,2365.29919
0.930251,14,2366.151178
0.918582,13,2366.942782
0.943331,13,2367.720479
1.037372,14,2368.549224
1.060946,13,2369.349623
1.055435,14,2370.171661
0.941679,14,2371.037073
0.966109,14,2371.931212
1.026709,13,2372.747491
1.050897,14,2373.607473
