#{"t_start": 1660217877.3448195, "env_id": null}
r,l,t
2.778359,300,35.613431
4.178881,400,72.143181
1.230951,358,122.295467
2.839739,298,173.020248
5.893041,400,233.026831
0.069643,174,255.856911
0.130561,270,422.446349
0.446064,400,503.853352
0.299289,166,539.041466
2.621501,135,563.20487
5.353789,149,595.677591
1.202312,54,605.367211
0.066337,213,648.388946
3.637373,304,708.642826
3.730452,58,719.216103
0.06602,189,756.85393
1.765276,120,779.31841
0.360776,243,890.891094
0.062233,182,925.590276
1.638135,289,982.491274
1.458057,400,1071.802492
0.278801,397,1155.782066
1.359227,230,1204.79792
1.027178,129,1231.038814
0.806754,542,1435.023722
1.867444,87,1452.008747
0.071077,51,1460.595301
13.243002,400,1538.964663
4.677014,400,1619.397408
1.132723,161,1648.423401
0.06245,88,1664.001261
0.06216,118,1687.188628
4.480568,158,1717.563085
0.120989,401,1840.476135
0.791739,59,1852.430166
2.702901,326,1912.112484
0.162949,43,1919.191991
3.295971,82,1933.40163
4.893895,101,1951.060467
7.262643,115,1974.425553
4.833985,233,2023.354033
2.028265,34,2029.122082
5.016907,203,2067.310943
0.04238,301,2131.293434
0.125545,315,2206.144812
19.465778,180,2242.550136
0.069727,24,2246.733393
0.062409,17,2249.616621
0.063291,20,2252.922205
0.067835,36,2259.36547
0.069991,58,2269.574868
0.064978,124,2290.967189
0.066089,146,2319.927561
0.06978,53,2328.237316
5.354938,32,2333.490836
0.420706,65,2343.836443
0.165178,21,2347.07784
5.88152,268,2398.286617
0.067738,140,2425.398354
0.065157,33,2431.114185
0.060997,34,2436.719289
0.059226,28,2441.280412
1.842607,50,2449.879948
0.048088,231,2495.964748
0.057759,88,2512.335891
3.448378,90,2528.156597
0.056197,14,2530.772604
0.009581,15,2533.250979
0.036714,14,2535.752292
0.009474,15,2538.093233
0.057511,14,2540.46751
0.06405,15,2542.859405
0.061239,14,2545.201186
0.064146,15,2547.646027
0.062604,15,2550.261855
0.062376,14,2552.949004
0.067312,15,2555.990499
0.034316,14,2558.377605
0.11968,26,2564.154018
0.060813,15,2566.767517
0.060251,16,2569.384752
0.057867,20,2572.499923
0.059041,15,2574.858953
0.0375,17,2577.431537
0.056556,17,2580.161157
0.055301,16,2582.665815
0.043199,18,2585.684178
0.062213,18,2588.73496
0.062126,17,2591.878472
0.067114,17,2595.098519
0.061572,16,2597.951332
0.068474,20,2601.713786
0.06085,16,2604.622049
0.055638,42,2612.231041
0.094582,133,2637.958054
1.492645,55,2648.105944
1.549004,57,2657.872628
0.546398,34,2663.661184
4.531703,23,2667.709414
3.184731,37,2673.796463
7.254492,42,2680.57435
0.225651,36,2686.364304
0.784002,37,2692.055403
0.747476,35,2697.345734
0.405925,37,2702.818222
0.472055,38,2708.714466
2.080674,47,2715.98702
2.04977,49,2724.049465
1.358899,32,2729.566712
6.359388,37,2735.803301
0.00181,46,2742.745879
0.924747,36,2748.699987
1.017681,42,2755.485846
1.743484,27,2759.786379
3.267493,69,2772.574985
0.674996,22,2776.349102
5.514211,62,2790.522038
9.574005,51,2800.783928
1.38841,31,2805.537247
6.997489,20,2808.76163
1.601425,126,2829.545287
0.059058,16,2832.214615
0.073782,32,2837.565152
0.040596,17,2840.116066
0.009491,14,2842.232903
0.032754,17,2844.786722
0.063754,18,2847.567147
0.008593,14,2849.729633
0.01086,15,2852.243147
0.062965,18,2855.20409
0.062941,17,2858.034992
0.010018,15,2860.560913
0.009893,15,2863.235821
0.010051,14,2865.572323
0.023908,17,2868.35565
0.010243,14,2870.571006
0.010117,14,2872.778844
0.009794,14,2874.947137
0.009045,13,2877.018062
0.009582,16,2879.764744
0.009753,14,2882.208266
0.058466,14,2884.787423
0.00984,14,2887.154456
0.03954,14,2889.649341
0.015024,15,2892.20366
0.049538,14,2894.722613
0.057726,18,2897.885134
0.026902,15,2900.487885
0.009684,14,2902.922687
0.065428,17,2907.327072
0.0094,14,2909.568142
0.060247,14,2911.928942
0.064112,17,2914.924538
0.062804,18,2917.93122
0.057336,17,2920.763706
0.043416,21,2924.424104
0.065257,76,2938.068919
0.072367,71,2950.3719
0.074113,56,2960.040447
2.996928,56,2970.989976
0.062331,76,2984.737276
4.214914,70,2996.972808
0.070197,30,3001.900939
0.06738,32,3007.350734
0.07201,27,3011.855929
0.031408,39,3017.925601
0.064679,30,3022.796188
0.044234,36,3028.468321
0.069944,35,3034.599818
0.068181,27,3039.164826
0.072755,35,3044.988801
0.06529,27,3049.327634
0.051115,26,3053.516229
0.050733,26,3057.475508
0.071829,31,3062.361958
0.074118,38,3068.350917
0.071069,31,3073.053523
0.073829,37,3080.251646
0.069846,33,3087.141598
0.063699,32,3094.255316
0.283067,34,3102.313979
0.073976,34,3109.568862
0.066945,25,3115.309124
0.061019,26,3121.152533
0.07234,31,3126.398538
0.064668,29,3130.921446
0.063009,27,3135.039437
2.047511,30,3140.044254
0.070153,36,3145.496847
0.065756,27,3149.617545
0.067239,28,3153.897731
0.066532,28,3158.091995
0.067388,30,3162.64939
0.072259,36,3168.762663
0.072133,45,3176.070657
0.069711,68,3188.742556
0.450612,32,3194.66262
0.07016,18,3197.951938
0.062691,20,3201.358265
0.069789,22,3205.059693
0.061603,21,3208.581557
0.070009,21,3212.599711
0.06126,21,3216.433448
0.068298,21,3220.075646
0.059133,20,3223.574358
0.059056,23,3227.486863
0.066298,21,3231.057008
0.059783,20,3234.567842
0.060286,20,3238.070102
0.061865,20,3241.521379
0.060537,24,3245.901334
1.781118,148,3278.068081
2.622161,43,3285.661126
0.105171,28,3290.01702
0.055416,26,3294.109557
0.066135,26,3298.176461
0.04763,24,3301.875572
0.062503,26,3306.176077
0.065282,25,3310.267517
0.063978,25,3314.438416
0.066138,27,3318.812724
0.066839,31,3323.95398
0.059887,28,3328.631846
0.070319,33,3333.70907
2.950932,34,3338.88737
0.069766,36,3344.075729
0.074195,55,3352.215404
1.604385,53,3360.191994
2.076154,24,3364.110217
0.327182,42,3370.52534
1.223085,53,3379.504254
0.532029,37,3385.711225
2.07141,43,3394.384031
0.154088,41,3401.028364
0.070293,42,3407.28721
0.689251,48,3414.05804
