#{"t_start": 1660006255.3276544, "env_id": null}
r,l,t
12.246697,144,39.256184
10.143308,94,49.526888
31.122634,400,97.699733
40.61422,400,140.320948
33.48451,400,188.240707
10.374324,41,192.484915
20.424402,177,209.493661
19.318042,190,226.595904
32.831246,358,293.432436
17.732727,198,317.605786
38.814587,400,363.766209
15.947875,166,381.192955
20.483076,191,403.654879
27.090184,209,425.8478
8.093604,54,431.188974
22.074771,213,454.83426
8.968483,54,459.498266
21.068662,268,492.88561
24.101019,131,689.517624
37.52001,400,738.070538
34.461538,400,784.523671
27.730393,158,802.782669
10.0158,50,808.562629
35.822897,255,836.844934
43.779232,400,883.526411
59.395863,602,952.684543
33.02408,400,1001.857598
24.118398,292,1039.748488
22.860075,163,1057.645046
13.831454,134,1070.970438
5.088502,34,1073.897888
21.886138,176,1090.213665
29.281226,145,1103.028368
31.811278,163,1119.450615
8.233968,35,1122.32045
4.017919,24,1124.15607
8.346842,46,1129.823941
22.269539,161,1180.263603
8.090236,28,1182.804223
15.111454,178,1202.498232
6.9721,49,1206.441188
6.989781,38,1209.817786
8.558112,37,1212.860787
6.979475,24,1214.962065
10.307042,162,1237.359646
18.541912,98,1245.490044
11.173359,52,1249.808731
13.657772,118,1262.414263
9.36762,25,1264.551286
20.235064,122,1275.198923
8.372946,53,1279.64527
12.980756,69,1285.295955
14.59723,100,1294.835223
15.969661,113,1304.36611
18.381645,121,1315.226124
13.194667,74,1322.271131
3.104228,22,1324.237946
5.545356,38,1328.919481
10.523684,83,1337.382565
5.623917,33,1340.469727
6.522959,31,1342.97995
7.486804,40,1346.266886
9.66322,91,1353.514573
7.472178,34,1356.295735
4.119918,24,1358.316042
7.519239,49,1487.18608
12.833946,79,1497.792343
8.464886,127,1518.060586
6.087357,57,1525.057455
4.88932,17,1526.547402
19.296634,54,1531.223409
3.010651,18,1533.212476
2.48313,15,1534.863081
1.461701,10,1535.9984
7.562706,73,1542.953259
5.930561,134,1563.135223
1.305828,10,1564.286345
12.950052,203,1598.845957
21.826516,314,1638.92286
3.552714,32,1641.380028
2.806397,28,1643.528649
2.361109,28,1645.510479
1.672648,22,1647.05505
1.963243,21,1648.658824
2.071332,21,1650.309132
1.509858,16,1651.498849
1.650779,19,1653.018944
1.711093,17,1654.34195
1.762142,14,1655.581566
1.393746,15,1656.717885
1.455682,14,1657.863958
1.582516,15,1659.062262
1.474076,14,1660.153225
1.163318,14,1661.208735
1.639447,14,1662.342871
1.705638,13,1663.419473
2.101445,15,1664.739013
1.643346,14,1665.817349
2.028507,19,1667.374098
2.877499,25,1669.456601
4.534912,38,1672.690217
2.034744,25,1674.586667
9.950647,80,1682.217676
16.287504,149,1696.139659
7.494906,16,1697.551143
11.122644,51,1701.556634
5.790719,49,1705.56016
7.77332,44,1708.343637
19.518548,56,1717.666381
9.576721,40,1719.900444
7.850636,39,1722.169601
14.991445,72,1726.022886
9.749402,43,1728.650355
8.91348,31,1730.689137
5.881192,36,1733.463614
11.843665,62,1738.591319
6.189456,27,1740.801446
15.400659,85,1748.622122
23.77655,110,1758.547137
7.67625,67,1764.036237
7.220465,66,1769.02644
9.899126,66,1774.596061
6.467841,69,1779.663773
7.161495,74,1785.705141
3.98938,16,1787.129106
4.173018,18,1788.687911
6.663529,68,1795.180733
9.817198,61,1800.019266
8.094436,57,1804.331856
6.246653,23,1806.173293
3.846721,30,1808.514411
10.536365,51,1811.547974
5.727403,37,1814.595733
13.918491,54,1817.503964
8.131508,63,1824.272729
1.90605,21,1825.680219
1.909199,19,1827.103199
1.414723,18,1828.205851
1.371827,21,1829.407834
2.142396,26,1830.918836
4.902872,51,1833.685083
5.721371,62,1836.886189
6.77834,60,1840.026251
2.309699,23,1841.606043
2.794191,25,1843.096831
2.102426,21,1844.533668
2.165268,20,1845.902184
2.247543,21,1847.294152
1.885604,20,1848.68845
2.86495,24,1850.158237
2.329023,26,1851.593103
2.904339,25,1853.125385
3.039745,25,1854.677854
3.718264,25,1856.341561
22.001624,46,1858.969624
21.901845,45,1864.357642
15.318357,49,1867.009536
17.185948,46,1869.701305
30.091731,56,1872.98283
9.796773,31,1874.956321
7.804576,17,1876.142384
17.815929,55,1879.657842
19.004771,84,1886.835899
13.09503,52,1890.517969
38.193869,391,1956.33776
1.586966,39,1958.549781
2.912743,82,1963.016643
4.251488,97,1970.400491
2.250166,31,1973.288915
2.813583,34,1976.561229
4.108429,33,1980.127823
2.600033,18,1982.186236
2.321635,17,1984.122155
3.646075,26,1986.932334
1.805267,18,1989.411729
1.251469,15,1990.375133
1.174188,13,1991.242653
1.343444,13,1992.109886
1.207313,13,1992.944251
1.381313,13,1993.812401
0.966811,13,1994.655968
1.276302,13,1995.545152
0.944605,13,1996.374014
0.985045,13,1997.206427
1.275534,13,1998.096091
1.396325,13,1998.984211
1.243187,13,1999.860677
1.170043,14,2000.788984
1.35779,13,2001.725592
1.30681,13,2002.596553
1.278757,13,2003.469786
1.431007,15,2004.547107
1.84753,16,2005.708268
3.693628,35,2008.577741
10.190067,76,2015.064629
3.842966,56,2018.934442
4.571184,54,2022.874851
1.927984,27,2024.844818
2.568642,32,2027.487632
1.662747,11,2028.814263
3.868237,32,2033.921139
2.216865,31,2036.269525
2.55382,15,2038.345606
1.541769,10,2039.338387
3.916526,48,2045.135691
4.176494,62,2050.870845
2.787622,40,2054.012205
4.229833,36,2059.325736
9.000747,84,2066.512028
3.574105,44,2069.87833
1.605816,21,2071.349408
2.07592,18,2072.494589
1.958667,20,2073.812476
3.077385,28,2075.601438
3.80202,37,2078.232896
3.391906,29,2080.047581
2.301051,22,2081.36884
2.079498,20,2082.657279
1.854177,23,2084.063287
1.940242,29,2085.731285
1.668112,28,2087.400601
2.089942,31,2089.216793
2.427531,37,2091.256942
2.491838,36,2093.350083
1.524118,20,2094.661532
1.589578,17,2095.808769
1.874863,19,2097.101532
1.451707,17,2098.251599
1.929651,21,2099.686302
1.637276,19,2100.983177
1.62212,17,2102.122139
2.051364,19,2103.540615
1.665733,28,2105.321241
5.761394,53,2108.622185
4.435731,46,2111.066602
5.891789,43,2113.524209
13.96892,48,2116.088745
14.910324,60,2119.477596
38.149067,55,2122.530495
25.188247,40,2124.799292
25.300542,42,2127.12052
17.229847,31,2129.041857
23.598413,66,2132.971702
39.176996,59,2136.296894
34.901323,63,2139.737095
23.868997,36,2142.048858
35.770657,61,2145.388875
35.314577,52,2148.421163
35.072047,54,2151.508157
34.626363,48,2154.467008
17.420156,38,2156.793016
19.835495,30,2158.685348
21.943417,36,2160.803321
28.1286,50,2163.494808
45.537573,73,2167.282829
23.02291,48,2170.372603
25.339417,34,2172.362043
27.624335,86,2177.408993
17.437671,25,2179.172251
37.73115,66,2187.292112
34.259918,52,2189.995541
27.526031,46,2192.533661
32.01109,56,2195.631313
31.544145,47,2198.194807
23.696482,107,2203.939498
42.016864,59,2207.114895
41.169127,63,2210.358201
32.526277,49,2213.013667
44.979278,60,2216.160715
52.431697,103,2221.577106
32.657106,57,2224.64048
16.322725,38,2226.676444
61.358989,170,2235.251822
38.050836,51,2238.042317
39.604869,58,2241.206034
30.10524,48,2243.993183
49.545738,73,2247.926015
30.555548,48,2250.459097
38.305188,49,2253.052441
17.521808,36,2255.165566
39.738554,53,2258.079281
47.924298,63,2261.580477
51.332532,82,2266.014508
30.147548,54,2269.181049
51.861754,126,2275.822315
15.914809,39,2278.2467
41.51296,58,2281.402667
34.522902,56,2284.293619
38.662363,51,2287.093652
44.14735,65,2290.476419
79.493644,94,2301.021271
11.224996,40,2304.501932
32.070937,47,2308.593641
24.326182,73,2315.290137
43.082078,55,2318.385457
36.50188,47,2321.153947
32.831246,60,2324.532928
27.690411,43,2326.932395
