#{"t_start": 1660312886.1024897, "env_id": null}
r,l,t
24.813868,261,57.602844
33.910213,400,105.547328
36.059103,319,133.772752
33.583614,400,184.033721
47.579013,400,218.101115
31.40157,263,242.303716
32.024122,332,278.985977
30.862801,400,330.848599
40.224407,400,382.124196
36.937941,400,432.346874
24.419312,216,458.925106
54.27504,392,511.898378
16.784409,148,528.374578
9.232124,63,535.282593
45.433097,400,582.114064
21.598808,218,608.234745
30.789049,400,668.109515
22.950447,240,696.311865
29.677675,248,719.759516
67.615616,500,785.410657
27.245707,372,836.613868
25.662627,274,873.497975
32.456564,295,906.002174
46.868517,400,944.975049
57.63783,659,1040.318847
35.969213,278,1067.880152
21.580848,204,1093.305366
27.283072,207,1110.267377
10.321833,86,1117.014517
20.753512,217,1142.089828
33.892884,363,1190.55373
20.24051,190,1213.857666
29.586999,244,1255.654634
6.705471,41,1260.005178
0.834047,13,1260.906212
1.346848,11,1261.786419
17.373723,152,1273.582881
2.563853,20,1275.252314
2.813658,21,1277.083523
8.092845,69,1282.686385
7.128236,53,1286.997562
7.966486,56,1291.770808
11.274702,90,1300.983664
13.546647,90,1312.038148
5.900731,36,1314.873559
5.185878,27,1316.930793
4.379988,25,1318.844542
4.383379,24,1320.77041
3.177011,25,1322.521045
3.627543,25,1324.367247
5.139705,28,1326.957383
6.158512,39,1329.996068
11.847478,57,1335.228591
9.968174,53,1340.599353
14.429768,72,1346.6275
12.706268,72,1355.029888
27.874736,130,1373.50257
9.940779,87,1385.369711
6.562296,47,1389.236531
10.805938,137,1413.22662
7.713847,49,1417.611603
5.865846,45,1423.10979
11.646857,86,1434.335344
7.689472,50,1438.248047
14.556492,120,1456.295258
6.611374,54,1460.62412
6.521899,69,1467.333112
11.839611,400,1532.687016
3.859186,34,1535.235671
1.980439,21,1536.830465
2.116583,17,1538.187745
2.074084,17,1539.607839
1.807478,16,1540.925459
1.624351,15,1542.090316
23.431461,342,1575.240557
25.818636,309,1607.105512
43.815889,400,1651.503576
14.644564,62,1657.404465
24.920928,104,1665.245728
21.606215,167,1783.742316
24.259603,208,1801.853856
16.090604,153,1815.069725
5.865228,46,1819.921467
12.143414,108,1829.938121
28.745579,272,1858.885037
26.713277,201,1882.009991
14.980884,179,1905.680225
14.939045,126,1917.720442
18.642211,171,1932.533106
25.173049,277,1957.754523
36.043499,331,1989.611166
5.811329,68,1994.721726
4.984675,43,1997.611308
3.133786,31,1999.448596
3.398506,26,2000.966048
2.705817,24,2002.248967
3.161741,21,2003.381069
2.60105,19,2004.435052
3.314925,20,2005.57239
3.036773,20,2006.68341
3.603435,20,2007.810243
2.74931,19,2008.876238
3.067064,20,2009.959655
2.758691,19,2011.038258
3.316702,21,2012.259872
3.968848,22,2013.817953
2.94384,20,2014.990434
2.647586,19,2016.132241
4.391143,27,2018.021995
12.717438,136,2028.132393
1.40032,23,2029.405115
1.771776,24,2030.772976
1.233881,18,2031.879623
1.232814,16,2032.846195
1.013791,14,2033.714481
0.911081,14,2034.577276
1.145357,15,2035.55204
1.229011,18,2036.636761
1.327883,17,2037.643234
1.169262,17,2038.639371
1.024882,16,2039.593198
1.171269,20,2040.731103
2.656439,33,2042.583925
5.217215,58,2046.21946
1.295216,20,2047.360783
1.230962,16,2048.294924
1.231395,16,2049.240061
1.153054,15,2050.156282
1.116032,16,2051.114987
1.242767,15,2052.004698
1.20275,16,2052.964961
1.145757,16,2053.912015
1.227809,16,2054.898219
1.153875,16,2055.879893
1.383059,18,2057.0299
2.221867,22,2058.487671
3.4862,38,2061.672812
2.893183,29,2064.086926
7.94857,68,2067.865439
17.89591,77,2071.880742
6.252895,34,2074.502512
8.081993,33,2078.521246
9.01033,32,2081.072409
6.403903,39,2085.52267
4.665462,31,2088.203295
6.293631,31,2091.206766
6.461926,42,2095.324127
9.16547,78,2105.416383
8.220066,51,2108.668442
6.854114,69,2115.35311
14.827468,196,2329.213475
2.042391,53,2332.173058
1.183675,28,2333.927009
1.240171,32,2335.770482
1.380227,28,2337.551954
1.357815,27,2339.243476
1.434533,31,2341.125542
1.326833,24,2342.748392
1.304091,20,2344.128574
1.135301,22,2345.548948
2.042524,28,2347.301112
1.727255,24,2348.894951
2.537643,29,2351.044202
1.325798,23,2352.51732
3.8351,37,2355.149317
2.884909,30,2357.389476
2.858065,37,2359.92701
4.778299,39,2362.954226
5.632996,45,2366.33687
7.404434,68,2376.024443
12.440799,45,2379.607273
7.260901,46,2385.572812
4.412728,26,2387.901864
4.986121,31,2390.669666
2.915325,23,2392.701312
1.733048,20,2394.225245
2.171918,19,2395.895792
2.023846,19,2397.458434
1.900946,17,2398.853398
1.903895,18,2400.350964
2.613999,19,2402.060293
2.028142,18,2403.612107
2.191875,18,2405.071911
1.876418,18,2406.392588
1.015648,21,2407.764839
1.213114,21,2409.130153
1.306151,21,2410.571897
1.184697,19,2411.884275
1.023727,18,2413.071328
1.126648,23,2414.5538
0.902958,19,2415.76506
0.914287,22,2417.156011
0.976218,22,2418.541471
1.015455,21,2419.911116
0.989676,20,2421.205108
1.000353,23,2422.719207
1.151281,26,2424.392154
1.191195,26,2426.012609
5.066734,77,2431.496087
4.814468,51,2435.73825
8.946546,105,2442.994156
3.579683,53,2446.987937
5.694152,52,2450.917082
4.016744,45,2454.22537
5.618075,59,2458.537428
4.556877,50,2462.153768
1.685136,27,2463.850845
1.478821,27,2465.494807
1.183205,27,2466.956065
0.906002,24,2468.311263
1.10398,17,2469.352969
1.114504,18,2470.4426
2.450673,36,2475.905014
1.128534,15,2477.261417
1.237619,15,2478.624223
0.892766,14,2479.864641
1.457331,14,2481.316514
1.806192,14,2482.914114
0.823112,14,2484.250607
1.390058,14,2485.694437
1.472813,13,2487.146886
1.41218,13,2488.542532
1.354516,14,2490.037962
1.519996,14,2491.4934
2.029873,13,2493.046259
1.579698,13,2494.407263
1.670657,14,2496.426593
1.925465,18,2497.784514
2.167664,20,2499.302399
2.100264,21,2500.773296
