#{"t_start": 1660233716.3121796, "env_id": null}
r,l,t
10.992999,97,27.625564
16.565506,194,54.857478
32.983623,299,84.918688
33.358184,400,133.240838
6.901297,56,138.140577
29.383531,400,187.458864
33.812945,400,235.030395
14.79542,119,246.53756
54.75161,435,335.423682
46.58316,400,376.185426
30.962934,400,425.097961
31.704523,333,461.458518
28.051278,255,488.699535
2.641383,20,490.367965
3.020455,28,492.614582
2.875937,23,494.502146
3.695343,23,496.533947
4.454257,37,499.498136
3.462229,28,501.688515
5.141359,37,504.824792
33.566197,416,558.523447
31.878308,400,608.086586
19.745304,166,624.3736
23.599611,260,662.369507
18.994552,95,673.78955
36.155466,294,709.271563
29.697583,242,737.639247
43.829724,321,940.358401
23.742306,214,960.548603
46.47837,400,1010.786031
30.952601,281,1042.243139
24.960759,246,1069.71885
27.865774,263,1096.101933
14.29598,114,1107.299592
12.363414,94,1116.600226
48.325215,470,1268.16091
45.437922,263,1290.2237
40.63459,246,1316.899036
26.391624,201,1342.268439
21.507354,170,1361.152571
31.400083,184,1380.252096
20.420438,150,1392.405793
19.0456,157,1408.272206
10.348586,93,1417.332621
47.372645,407,1640.529322
13.487403,78,1649.927536
22.341426,135,1667.187065
19.154708,172,1686.075867
16.232343,175,1711.199654
7.23356,91,1723.524118
22.25215,152,1735.90271
17.377504,132,1748.98332
22.998221,194,1769.473442
14.554264,105,1781.439686
14.360781,106,1790.738453
8.141839,60,1795.470377
7.056439,47,1799.043818
9.960705,58,1803.818091
8.831694,68,1808.845492
12.191583,90,1815.83191
12.310069,91,1826.166754
10.724412,73,1833.067514
22.000104,162,1856.085976
10.965269,76,1865.458626
10.001358,83,1876.981124
4.66883,34,1879.870241
3.406321,32,1882.274281
7.743672,58,1886.762974
3.848764,36,1889.785934
5.229081,41,1893.161755
8.985617,66,1898.763128
2.990107,29,1900.954105
3.445229,31,1903.488195
2.467057,23,1905.28958
3.032006,27,1907.518705
3.164156,28,1909.731482
10.741755,113,1921.279826
15.027581,124,1934.874352
13.135156,100,1947.498216
2.911568,27,1949.598014
8.244592,50,1953.689754
6.235459,48,1960.079322
15.345898,130,1966.498483
1.246949,26,1967.927543
1.514013,24,1969.359247
1.318861,34,1971.1201
1.128904,23,1972.371169
2.180904,61,1975.494261
22.893669,134,1987.19592
12.863418,141,1995.204722
0.992293,10,1995.852845
0.926451,10,1996.488483
0.928662,11,1997.171762
0.983243,12,1997.912129
0.957544,12,1998.660269
1.043082,12,1999.414326
1.038479,13,2000.243373
1.209778,15,2001.174906
1.179996,15,2002.155205
2.072585,34,2004.686935
22.338027,84,2010.076691
30.188138,186,2036.020685
12.20899,56,2040.51256
3.658057,30,2043.007577
1.265085,12,2043.863585
1.046839,11,2044.611948
2.486219,26,2046.377677
14.082683,79,2055.221717
3.837524,26,2057.738822
10.557316,104,2071.842161
17.758534,88,2079.184026
17.961152,75,2085.784741
10.645372,51,2089.250456
7.184173,35,2091.630698
7.02201,39,2094.507809
4.203768,29,2096.197534
4.386395,29,2097.868966
3.611706,28,2099.37737
3.260667,27,2101.028182
3.06027,27,2102.586601
3.543961,27,2104.121036
2.825506,26,2105.535741
2.767601,26,2107.024088
4.135075,35,2110.671515
5.60601,44,2115.555716
4.932645,34,2119.550142
8.684804,64,2127.483644
8.008666,43,2132.958103
6.509251,37,2135.125654
3.332539,31,2136.791082
4.312582,32,2138.476679
5.446757,28,2140.473128
5.154902,34,2142.731841
4.288713,40,2145.024566
6.242464,34,2147.481249
9.175078,48,2150.610703
10.074951,42,2154.579226
4.532259,31,2156.752896
4.768722,35,2159.256722
5.531469,41,2162.157775
8.973483,47,2165.876014
10.304471,56,2170.447863
3.476088,40,2173.091403
1.952894,25,2174.835673
2.239335,29,2176.613204
5.473656,61,2180.954682
1.990602,27,2182.784326
3.595518,30,2185.139773
2.591108,30,2187.175504
1.602726,18,2188.466845
1.446087,18,2190.916237
2.53401,23,2192.668174
2.376903,18,2194.086594
1.476201,19,2195.332793
1.140022,25,2196.807977
2.737441,42,2199.490943
1.184947,17,2200.594828
1.955344,31,2202.501911
2.59728,56,2205.94823
2.487969,41,2208.448164
5.954544,60,2212.298596
3.063396,47,2215.087013
3.724024,36,2217.238341
6.744382,64,2221.406065
5.262012,47,2224.863101
5.470601,33,2227.202968
8.595347,50,2230.587724
11.963208,64,2235.02332
5.761358,49,2240.420507
7.773443,58,2244.862918
8.636498,75,2251.784848
11.474568,70,2255.949496
9.540701,75,2260.101601
10.677924,78,2265.095998
11.608542,78,2269.596308
13.673896,75,2276.337023
9.706839,64,2281.362593
18.985412,101,2293.622453
4.619278,36,2299.120173
9.352075,62,2307.740849
6.734581,66,2310.93007
8.68248,89,2315.404038
