#{"t_start": 1660174830.1636114, "env_id": null}
r,l,t
0.030174,400,93.467943
0.029853,162,116.698645
1.467915,400,181.133781
0.094766,400,248.242455
3.766252,391,302.220206
0.719827,151,326.835376
2.760086,205,577.585639
0.507119,56,586.286409
0.029634,18,587.949654
0.0,14,589.235815
0.00368,11,590.289878
0.003868,14,591.989996
0.0,24,594.580073
0.0,42,598.8035
4.67396,384,660.913229
0.351134,283,709.222677
1.470702,400,775.442377
0.094936,137,791.296318
0.705045,273,832.329789
9.600957,394,1116.600994
0.846101,347,1170.429031
0.03014,70,1179.617696
4.140016,166,1204.857225
0.367225,391,1275.927909
0.197205,365,1329.898964
3.50475,164,1354.878466
0.173234,593,1452.970141
0.512771,400,1519.938373
0.006471,400,1580.652718
0.031761,335,1629.30539
0.292812,231,1657.011838
2.626694,370,1714.02443
3.129278,103,1820.389674
0.474372,221,1851.613042
4e-06,312,1891.18586
0.116917,307,1933.759801
0.467139,241,1967.824481
0.471844,367,2013.654759
0.0,267,2046.182841
4.263594,548,2130.765214
0.024535,278,2160.184092
4.46771,322,2190.941732
0.031806,400,2230.573568
0.014694,218,2252.056046
0.00543,72,2258.525299
0.03082,205,2276.339437
0.058201,369,2311.993692
0.209073,185,2328.285783
0.031679,197,2341.434826
0.034064,49,2345.341465
0.030372,45,2349.314968
0.029598,16,2350.638795
0.027545,16,2351.939708
0.025507,14,2353.058323
0.032041,15,2354.157062
0.033742,13,2355.165497
0.031661,14,2356.253441
0.035072,14,2357.301476
0.034821,14,2358.356777
0.034733,14,2359.383177
0.029054,15,2360.522667
0.027798,18,2362.118815
0.032442,25,2364.246523
0.034933,252,2398.529707
0.168124,109,2410.363508
0.268908,102,2423.740509
0.087603,131,2442.302307
0.011007,95,2453.311743
0.0,61,2458.435339
0.0,46,2462.441967
0.0,36,2465.641286
0.01144,23,2467.411994
0.024978,36,2470.305994
0.033541,29,2472.44725
0.011539,32,2474.840399
0.007654,46,2478.176283
0.01189,117,2485.991124
0.01033,80,2496.726588
0.002724,76,2501.728991
0.127554,53,2505.360657
0.236919,43,2508.275705
2.269688,63,2512.642976
3.208926,49,2516.209459
0.274168,75,2529.575233
1.097237,64,2535.992706
8.430923,69,2547.177772
0.526613,106,2567.989515
0.00166,44,2572.84653
1.53743,69,2584.904999
0.449614,53,2590.30537
0.62313,42,2594.7389
19.989818,108,2611.679713
5.8e-05,43,2618.466301
11.272658,50,2627.619486
0.427875,76,2641.572366
8.859152,137,2666.00651
3.728471,240,2695.625211
0.03094,38,2699.101751
0.034044,42,2702.700986
0.031422,52,2707.434057
0.031993,44,2711.127908
0.031274,34,2713.828091
0.030563,69,2719.189213
0.033462,74,2724.278569
0.034335,65,2728.609018
0.066134,101,2739.736863
0.028957,41,2742.485187
0.030509,37,2745.021516
0.087093,40,2747.65126
0.031431,45,2750.692678
0.03508,47,2753.917949
0.030897,51,2757.365767
0.03495,156,2767.047114
0.029243,196,2779.585717
0.028159,205,2792.082726
0.020038,252,2807.757629
0.021749,234,2828.60303
0.235048,392,2868.137646
0.486282,420,3074.871238
0.712625,68,3082.576199
0.197616,43,3086.621875
1.643132,42,3090.575045
0.297547,86,3096.771983
0.840526,65,3101.577835
0.544958,44,3105.607702
0.392068,106,3113.92146
0.398122,58,3118.259302
5.187341,40,3121.941158
0.006942,34,3125.107792
0.003465,100,3132.109673
0.012545,23,3133.770519
0.012494,25,3135.62577
0.012771,26,3137.542905
0.013672,24,3139.247863
0.013653,24,3140.946501
0.013145,25,3142.938401
0.012677,26,3144.81168
0.010747,22,3147.016649
0.031926,21,3149.008789
0.011021,20,3150.874218
0.000354,20,3153.097028
0.021729,19,3154.846688
0.034914,16,3156.088791
0.029584,18,3157.429197
0.034247,19,3158.900922
0.034929,18,3160.221877
0.033867,20,3161.69822
0.034304,19,3163.121402
0.034142,22,3164.793691
0.034861,22,3166.423949
0.031938,21,3168.032789
0.029631,20,3169.542012
0.037317,17,3170.847467
0.032703,19,3172.275213
0.019294,18,3173.580929
0.029428,15,3174.678718
0.032295,14,3175.730742
0.031646,14,3176.800132
0.027197,14,3177.876739
0.033376,14,3178.924379
0.032351,13,3179.934696
0.031889,13,3180.959785
0.029428,13,3181.977853
0.035989,14,3183.040282
0.031532,14,3184.140848
0.032467,14,3185.202567
0.032325,13,3186.220167
0.034374,16,3187.37527
0.032311,15,3188.549412
0.031781,15,3189.732256
0.030929,17,3190.99774
0.030967,15,3192.141522
0.034132,18,3193.468592
0.027145,18,3194.789692
0.030746,22,3196.431661
0.031293,31,3198.732216
0.026239,80,3204.059438
0.029747,54,3207.659392
0.033944,61,3211.900627
0.036594,63,3216.028021
0.220247,104,3247.291038
0.31094,90,3259.705506
3.666277,260,3313.374289
1.650703,55,3317.430547
1.403399,56,3321.196035
2.190767,55,3324.928262
1.833762,47,3328.433119
0.542466,40,3331.209547
1.306079,51,3334.916761
0.586149,64,3340.224401
0.032879,113,3346.693788
0.323061,171,3360.751808
0.034329,77,3365.356187
0.034637,56,3368.861089
0.033814,51,3372.128718
0.034266,45,3375.134034
0.027275,46,3379.377903
0.205525,44,3383.691279
0.471582,60,3389.559797
0.02556,69,3395.639119
0.330649,91,3407.647012
0.000499,61,3413.238178
0.190257,69,3424.066151
0.146669,69,3429.827358
0.236971,71,3440.730284
1.16502,67,3446.852778
0.0,26,3450.079962
0.815001,44,3459.363665
0.432989,27,3462.090048
0.04595,26,3464.790097
0.052556,27,3467.437788
0.225629,29,3470.246288
0.129951,28,3472.931311
0.031477,41,3476.670761
0.314763,44,3480.248805
0.398208,37,3483.166335
0.027979,42,3486.538001
0.03022,25,3488.465266
0.02844,23,3490.341394
0.031511,23,3492.209529
0.029731,23,3494.170599
0.030501,20,3496.014977
0.030646,17,3497.474808
0.030636,16,3498.777117
0.032536,14,3500.063206
0.033131,14,3501.166238
0.033398,14,3502.229595
0.034857,12,3503.121198
0.034224,12,3503.985148
0.033817,12,3504.886414
0.034834,12,3505.811983
0.035063,12,3506.73233
0.034623,12,3507.623802
0.034867,12,3508.517036
0.034697,13,3509.496846
0.03495,13,3510.440417
0.034929,14,3511.464026
0.03433,13,3512.409126
0.034581,14,3513.398762
0.03467,15,3514.473296
0.034716,15,3515.553761
0.034438,19,3516.84958
0.035015,26,3518.739285
0.033375,39,3522.096036
0.002575,20,3523.481235
0.002775,15,3524.578338
0.001991,13,3525.59773
0.002239,13,3526.635235
0.002952,13,3527.644074
0.002341,14,3528.692505
0.002701,14,3529.752414
0.002057,14,3530.817358
0.003083,13,3531.813775
0.002858,13,3532.78703
0.00235,14,3533.86625
0.001991,14,3534.932718
0.002445,14,3535.997931
0.009108,15,3537.127014
0.002001,14,3538.182756
0.00215,16,3539.419901
0.004485,17,3540.911505
0.001024,20,3542.826746
0.002947,18,3544.394018
0.002664,21,3546.595449
0.000354,69,3554.416058
0.000354,44,3558.977821
0.021957,35,3562.393587
0.005422,83,3570.601941
0.003909,244,3611.125435
0.031466,69,3616.754185
0.009361,53,3620.585981
0.016198,47,3624.194416
0.011144,48,3628.468801
0.01136,57,3632.580886
0.011903,157,3643.303748
0.02691,62,3655.544818
0.01137,62,3660.269979
0.01088,43,3664.124632
0.008664,45,3668.086895
0.009935,53,3672.618867
0.0104,66,3677.357752
0.012618,97,3683.615737
0.002821,24,3685.26441
0.002609,16,3686.500491
0.002476,14,3687.658313
0.00239,14,3688.867276
0.002398,14,3690.009045
0.003014,13,3691.07096
0.002655,14,3692.193501
0.002799,14,3693.30493
0.002825,14,3694.398439
0.003062,15,3695.573077
0.002988,14,3696.716923
0.002647,16,3697.912181
0.00315,49,3701.12764
0.593053,88,3707.281168
0.593648,48,3710.74044
2.607845,55,3714.243872
3.301509,36,3716.641316
0.003134,53,3720.065686
0.038589,44,3722.958004
1.374974,42,3727.474525
2.647609,41,3731.715601
1.699952,39,3736.07067
0.003243,40,3740.445674
0.003243,39,3744.825181
1.471171,36,3749.313033
0.0993,39,3752.169938
0.045273,91,3758.870327
0.363662,42,3762.179539
0.383167,37,3765.603067
0.062131,38,3769.510878
0.032001,37,3772.5564
0.140479,35,3775.006559
0.032211,40,3777.754832
0.031674,36,3780.204572
0.031551,35,3782.696065
0.031674,32,3785.492311
0.022861,32,3788.749426
0.025145,37,3792.171915
0.002691,30,3794.717633
0.0,23,3796.705642
0.002786,17,3797.97351
0.002706,16,3799.204182
0.00291,13,3800.263887
0.002688,13,3801.309729
0.002494,13,3802.384034
0.002688,12,3803.379677
0.002816,12,3804.377418
0.002399,12,3805.401914
0.002642,12,3806.396808
0.002556,11,3807.32484
0.002733,12,3808.318498
0.002786,12,3809.345987
0.002693,12,3810.356533
0.002703,12,3811.339092
0.002691,12,3812.348245
0.002693,12,3813.326735
0.002445,13,3816.05883
0.002545,14,3817.15603
0.002458,14,3818.247591
0.002366,15,3819.450079
0.002604,13,3820.508129
0.002952,13,3821.614337
5.5e-05,26,3824.015358
0.025189,22,3825.935692
0.002664,28,3828.481127
0.002099,37,3832.438425
0.001945,81,3839.494901
0.031616,47,3842.838155
0.031375,44,3845.794787
0.032911,37,3848.295999
0.031685,40,3850.996606
0.031987,39,3853.621563
0.032752,50,3857.013358
0.032397,34,3859.557558
0.031672,32,3862.041133
0.033333,27,3864.294811
0.03397,27,3867.027615
0.034562,25,3869.534418
0.034089,28,3872.286418
0.034432,36,3875.34048
0.034293,26,3878.019616
0.035153,26,3881.312668
0.028261,33,3884.579757
0.002943,31,3887.707592
0.034021,31,3890.360779
0.002994,34,3893.688525
0.027023,45,3897.647894
0.027798,45,3901.286779
0.031155,45,3904.814275
0.030875,45,3908.142144
0.028586,45,3911.357099
0.031018,47,3914.53934
0.032307,43,3917.52557
0.031237,33,3919.812006
0.029977,36,3922.174958
0.031357,37,3924.69118
0.030778,40,3927.289789
0.031103,33,3929.536786
0.031409,33,3931.727625
0.030975,33,3933.939566
0.030251,34,3936.239553
0.030083,40,3938.795207
0.029193,34,3941.154118
0.029673,31,3943.228374
0.028696,31,3945.291148
0.030643,36,3947.706738
0.034979,40,3950.411153
0.032054,36,3952.832286
0.029558,62,3956.872905
0.030254,41,3959.678192
0.029712,34,3962.133962
0.029935,39,3964.855239
0.03072,24,3966.689136
0.030469,29,3968.722385
0.061074,43,3975.040923
0.032389,26,3977.154655
0.031867,19,3978.671866
0.032251,21,3980.36875
0.032263,22,3982.108139
0.032222,33,3984.721473
0.032622,27,3986.801451
0.032108,26,3988.822014
0.033337,32,3991.546402
0.032063,29,3994.182332
0.028879,26,3996.619727
0.0291,28,3999.529223
0.002276,31,4002.646335
0.022672,33,4006.084685
4.2e-05,32,4009.470249
0.002585,30,4012.517081
0.032888,32,4014.942137
0.033455,33,4017.497959
0.033654,31,4019.952061
0.033369,29,4022.287364
0.034088,36,4025.287944
2.134326,400,4137.911089
2.50309,400,4251.590524
0.012208,75,4257.796702
0.009367,51,4261.406535
0.022067,74,4266.718878
0.023235,73,4271.502429
0.013602,74,4276.636687
0.010252,82,4282.002
0.006022,76,4287.16211
0.031855,71,4291.710578
0.02929,78,4305.258073
0.011187,78,4313.962214
0.007414,78,4322.277445
0.00872,79,4331.165153
0.052544,54,4336.272695
0.027567,35,4339.636512
0.036797,28,4342.270051
0.018866,30,4344.403105
0.004066,29,4346.727281
0.024864,29,4349.159426
0.033767,32,4351.666965
0.033366,29,4354.095718
0.033588,28,4356.374617
0.026167,32,4359.155818
0.031383,33,4362.154409
0.026963,30,4364.607362
0.030057,31,4367.32038
0.033312,32,4369.887011
0.033115,34,4372.440221
0.028236,32,4375.338649
0.025776,34,4378.132044
0.014548,28,4380.819108
0.003869,34,4383.672529
0.006327,35,4386.702706
4.2e-05,32,4389.406518
0.027356,35,4392.57844
0.026737,33,4395.576471
0.020863,30,4398.664666
0.016459,24,4401.174113
0.030642,21,4402.899492
0.011598,21,4404.672614
0.013297,19,4406.141651
0.013814,20,4407.617843
0.01342,16,4408.868205
0.012283,14,4409.992438
0.011217,15,4411.135785
0.012362,15,4412.337561
0.009874,15,4413.555146
0.012315,15,4414.769017
0.012182,14,4415.891659
0.012988,14,4417.010647
0.013018,14,4418.137671
0.012988,14,4419.250389
0.014135,13,4420.282341
0.024223,14,4421.401622
0.013961,13,4422.40523
0.021947,12,4423.274174
0.028816,13,4424.219104
0.032159,12,4425.079831
0.028588,12,4425.935664
0.026254,13,4426.894908
0.016296,12,4427.787407
0.035547,12,4428.653421
0.013092,12,4429.597025
0.012099,12,4430.589544
0.012207,12,4431.576875
0.017942,12,4432.587991
0.010102,11,4433.546317
0.006351,11,4434.485831
0.003599,11,4435.414345
0.006091,11,4436.372615
0.003068,11,4437.311606
0.002885,11,4438.252597
0.002722,11,4439.134402
0.002757,12,4440.124617
0.003455,12,4441.070919
0.002862,11,4441.975108
0.003204,12,4442.959012
0.002888,11,4443.89433
0.003123,12,4444.907334
0.003344,11,4445.838018
0.002993,12,4446.869886
0.003331,11,4447.786912
0.002602,12,4448.76198
0.003361,11,4449.670954
0.002905,12,4450.651155
0.003241,12,4451.661308
0.003235,12,4452.653475
0.003401,13,4453.706352
0.002585,12,4454.681574
0.003631,13,4455.753158
0.002684,12,4456.759279
0.003294,14,4457.937577
0.00247,14,4459.19438
0.00351,25,4461.686659
0.002672,19,4463.458375
0.0,21,4465.432479
4.8e-05,20,4467.519275
0.002477,19,4469.160357
0.029062,31,4472.364787
0.027349,35,4476.070513
0.011465,104,4490.637075
0.01449,85,4501.184203
3.434254,118,4520.646737
1.849773,57,4525.553651
0.01262,39,4528.576727
0.357673,10,4529.844539
0.719978,42,4533.051034
0.012467,36,4535.767123
4.328556,41,4539.044513
0.059104,33,4541.625563
0.01425,25,4543.613988
0.012606,32,4546.001737
0.008056,35,4548.671829
0.008053,32,4551.037246
0.896851,33,4553.519799
0.011139,27,4555.587555
0.013637,28,4557.900086
0.013374,21,4559.604878
0.014178,21,4561.293309
0.011509,23,4563.118361
0.01218,21,4564.811224
0.012976,18,4566.275519
0.012179,19,4567.839519
0.007406,17,4569.215503
0.012243,17,4570.566523
0.013929,25,4572.45394
0.030059,20,4574.039847
0.011951,16,4575.348739
0.012446,18,4576.826932
0.008387,27,4578.863794
0.003467,18,4580.256813
0.005131,28,4582.320038
0.010815,23,4584.040086
0.00355,29,4586.207764
0.010408,25,4588.32505
0.031746,101,4602.87966
0.003327,20,4604.582407
0.002991,11,4605.515818
0.002769,10,4606.356627
0.002813,11,4607.281809
0.003294,11,4608.229988
0.002932,11,4609.166551
0.002757,11,4610.107373
0.003106,11,4611.024901
0.003211,11,4611.968152
0.005012,11,4612.897127
0.006067,11,4613.802282
0.002938,12,4614.811847
0.009968,16,4616.209664
0.002175,18,4617.625946
0.006635,18,4619.001151
0.011714,18,4620.345338
0.012073,22,4622.04397
0.011424,47,4626.309257
0.00565,23,4628.143242
0.014062,25,4630.119504
0.011938,24,4632.033505
0.013753,23,4633.873096
0.011187,27,4635.992954
0.005012,62,4641.008285
0.009885,30,4643.396987
0.014047,24,4645.177885
0.005263,38,4648.107625
0.013309,23,4649.900989
0.011621,51,4654.487317
0.260927,258,4691.302152
0.002366,74,4696.238037
0.005149,34,4698.794139
0.011507,25,4700.776106
0.00975,18,4702.222777
0.010714,17,4703.525976
0.014079,16,4704.757697
0.011204,14,4705.877192
0.010894,15,4707.062284
0.013712,14,4708.178471
0.009441,14,4709.310295
0.009461,14,4710.437968
0.010884,16,4711.684895
0.013804,15,4712.856381
0.012448,16,4714.097963
0.013525,17,4715.385101
0.013149,17,4716.678498
0.010827,18,4718.004075
0.010399,18,4719.374529
0.013595,17,4720.69778
0.012481,17,4721.985926
0.010576,20,4723.455218
0.011366,20,4724.963253
0.009687,23,4726.694252
0.010051,19,4728.098544
0.009932,22,4729.72881
0.009216,23,4731.402962
0.011218,22,4732.967918
0.010667,24,4734.706959
0.010202,22,4736.314775
0.009887,20,4737.813447
0.010958,23,4739.526754
0.01534,25,4741.338738
0.014317,23,4743.01772
0.018493,20,4744.491852
0.012974,23,4746.188966
0.020516,23,4747.849286
0.021346,25,4749.616221
0.020435,26,4751.656101
0.016065,23,4753.496709
0.032131,27,4756.706827
0.017742,31,4759.902426
0.017867,26,4762.762208
