#{"t_start": 1659902143.7904637, "env_id": null}
r,l,t
2.802023,400,61.238917
2.93471,400,134.968877
0.040116,68,146.545692
0.473575,330,206.094437
2.026485,400,303.605227
6.964095,400,382.02113
3.560572,323,593.53978
0.235136,318,643.912942
0.052638,288,688.819304
1.570899,400,760.544547
0.911361,400,833.984987
0.199544,673,1034.301465
7.544272,400,1103.558281
0.873302,400,1160.661731
0.269099,357,1216.621992
0.031089,89,1229.364834
1.575777,320,1286.612522
0.222432,402,1555.26917
2.449876,400,1636.903834
3.45492,163,1666.202152
3.087413,348,1724.548999
0.314856,241,1760.649969
0.036298,254,1804.312877
1.274328,485,1966.663666
1.055814,226,2003.480222
1.122244,288,2050.709611
0.931498,400,2117.771991
3.661832,288,2166.228852
1.745864,400,2232.159779
0.053893,77,2243.032926
0.085459,261,2364.728032
0.820864,359,2418.697509
0.662963,357,2474.319633
5.142665,279,2516.156544
1.941705,249,2554.517128
0.040061,81,2566.88011
0.031429,156,2590.124558
0.033834,108,2605.158966
1.558966,171,2627.583929
0.088258,140,2676.114728
0.038448,46,2681.453789
0.042142,45,2686.875447
0.076048,34,2691.285691
0.098035,29,2694.846571
0.036835,28,2698.523297
0.040416,28,2702.112769
0.014375,26,2708.413817
0.074778,26,2713.81916
0.071155,26,2717.892325
0.076519,29,2722.432454
0.074868,30,2726.518636
0.073179,39,2731.149162
0.078042,68,2738.799909
0.076367,74,2746.579747
0.081952,74,2754.373555
0.082624,168,2771.943683
0.06975,16,2773.855763
0.073831,16,2775.665216
0.071458,15,2777.38969
0.071535,17,2779.310488
0.068871,19,2781.765483
0.068662,14,2783.366412
0.071905,20,2785.544035
0.071684,19,2787.738418
0.073238,27,2790.734985
0.080671,42,2795.21722
0.071031,48,2800.273526
0.077387,61,2806.935182
0.072367,82,2818.58129
0.126226,26,2822.522959
0.536055,179,2853.042342
0.084873,115,2865.425176
0.078493,187,2885.453505
0.083246,158,2902.7625
0.075281,44,2907.850637
0.180886,60,2923.546537
0.08007,25,2926.950843
0.077998,23,2929.990651
0.077893,17,2932.321211
0.089023,23,2935.75181
0.081026,22,2938.290319
0.084042,19,2940.399503
0.081115,20,2942.630322
0.068659,19,2944.762442
0.083169,19,2947.027144
0.088429,21,2949.478628
0.089264,26,2952.355085
0.077328,34,2956.052047
0.096811,40,2960.681766
0.095966,51,2966.359306
0.087097,47,2971.30706
0.077024,44,2976.056239
0.073891,49,2981.392993
0.080079,47,2986.766622
0.084206,48,2992.060067
0.085629,54,2998.144524
0.778143,68,3005.902217
16.153767,76,3015.640801
32.709534,109,3029.674691
7.129857,98,3041.997328
5.486741,64,3054.138138
0.043031,37,3059.346445
0.067123,18,3061.717413
0.068211,18,3063.968577
0.066195,17,3066.177828
0.066684,19,3068.449545
0.069204,18,3070.794563
0.067299,16,3072.852536
0.070658,18,3075.156338
0.06851,19,3077.485459
0.069583,16,3079.552253
0.074273,39,3084.986912
0.070861,20,3087.527449
0.06829,16,3089.606832
0.069758,16,3091.731875
0.073531,17,3093.981545
0.067954,15,3096.065205
0.070507,16,3098.199792
0.059771,14,3100.153252
0.071512,16,3102.403667
0.073744,17,3104.749695
0.076155,16,3106.856481
0.071985,13,3108.524446
0.071222,17,3110.844355
0.073786,16,3112.956505
0.072827,16,3115.169544
0.072201,14,3116.964802
0.069184,16,3118.95456
0.072567,15,3120.901786
0.072025,15,3122.875152
0.070636,17,3125.124151
