#{"t_start": 1660684923.1101844, "env_id": null}
r,l,t
0.128811,137,42.225535
6.2e-05,192,65.882153
0.821937,400,112.626363
0.46342,400,171.54647
0.304594,142,185.655869
8e-05,122,195.624233
0.492925,292,230.669789
0.017502,208,247.943185
3.94245,357,290.019926
1.472007,295,320.38414
0.089868,400,366.524588
0.027185,110,379.326594
1.179066,136,396.135538
0.909449,222,427.300207
6.1e-05,61,432.265024
1.098317,400,481.878702
0.415769,18,483.65698
0.087643,153,685.114731
1.070429,400,735.678562
4.07781,400,791.111279
1.419284,400,847.560346
0.396303,285,880.497089
2.109898,139,897.3791
1.909653,728,1172.55479
1.337814,187,1190.756501
4.479949,280,1225.771577
0.352682,177,1246.48075
0.859126,370,1293.374268
0.464751,258,1324.690465
1.185146,219,1347.80108
6.126565,371,1580.207092
0.773117,312,1619.357306
1.763521,164,1638.072438
0.39171,300,1674.518618
1.208346,169,1694.436371
1.545497,158,1714.44549
2.228746,212,1733.11136
6.85485,313,1768.131168
2.280561,273,1948.845938
0.746473,124,1966.28521
1.214869,237,1992.167961
1.525623,229,2014.386953
1.147654,294,2044.677991
1.270177,200,2066.20839
2.257853,145,2082.265468
1.206917,123,2094.744167
1.132397,57,2102.636311
4.4e-05,14,2103.524935
4.7e-05,15,2104.523063
4e-05,16,2105.628716
7.2e-05,13,2106.544896
2e-05,22,2108.25728
3.9e-05,18,2109.809242
0.0,15,2111.02721
4.9e-05,14,2112.176341
4.4e-05,47,2116.070173
6.1e-05,35,2118.779515
1.006426,50,2122.275291
0.491589,118,2131.672976
0.703028,40,2134.094205
1.169396,107,2147.079495
0.790363,98,2159.095953
1.4e-05,14,2160.24244
3.2e-05,15,2161.422568
0.0,12,2162.320515
0.0,16,2163.546677
8.3e-05,13,2164.516147
7.5e-05,22,2166.016754
7.1e-05,19,2167.506916
4.3e-05,25,2169.536612
7.4e-05,22,2171.146553
7.7e-05,12,2171.970685
0.0,24,2173.708638
6.5e-05,18,2175.089289
0.0,15,2176.259652
0.0,31,2178.670787
0.0,67,2184.107822
0.0,24,2186.205635
0.0,41,2189.569548
1.517314,72,2195.701682
0.597907,80,2203.892307
1.2185,110,2217.203273
0.61698,55,2223.428086
1.9474,90,2233.481031
0.428179,34,2236.273986
6.1e-05,42,2239.54351
1.145889,37,2242.623193
0.164406,28,2246.410409
0.438089,31,2250.168355
0.272507,27,2253.590918
2.417133,35,2256.348464
1.278409,34,2260.232174
2.394993,30,2262.661862
0.509053,31,2265.026979
0.694044,30,2267.188884
0.225914,34,2271.132044
0.779417,32,2273.546748
1.174724,41,2277.884136
4.863361,65,2286.78371
0.12604,35,2289.758239
0.141695,34,2292.762415
0.220931,40,2295.893769
0.0,23,2297.884754
9e-06,36,2300.695216
0.0,38,2303.740373
0.0,44,2307.449737
9e-06,25,2309.488592
0.0,38,2312.277763
0.0,41,2315.022343
0.974596,32,2317.169225
0.392379,48,2320.916683
3.432024,120,2333.19508
0.916515,79,2339.285818
1.903299,152,2356.138335
1.107894,73,2361.007609
2.873744,58,2365.448193
3.076675,54,2370.516638
1.943162,34,2373.653626
1.953433,41,2377.83098
1.002662,36,2382.22197
1.276999,15,2383.403049
1.68398,11,2384.496488
0.779747,59,2388.280389
8.6e-05,31,2390.137516
6.7e-05,30,2391.936032
8.3e-05,23,2393.217826
5.7e-05,25,2394.676418
4.9e-05,35,2396.957351
1.169038,58,2401.147041
6.1e-05,24,2402.528841
6.3e-05,24,2404.06143
4.7e-05,70,2410.232283
0.127641,92,2419.614423
2.257091,143,2438.706286
0.000272,97,2445.305888
0.006936,63,2450.31151
0.841164,93,2462.616054
0.801361,60,2467.79569
0.906879,100,2480.562979
0.712628,67,2489.142833
0.003643,42,2492.286269
0.001184,90,2499.334869
0.088556,59,2504.08617
0.707631,157,2520.672313
0.895818,87,2530.441161
0.435733,105,2542.73355
0.046765,75,2548.586198
1.673072,28,2552.849597
0.600347,27,2556.276535
0.61797,89,2566.602918
1.600224,38,2571.016491
1.552533,19,2573.006792
0.764334,56,2578.887769
0.985819,42,2581.84192
0.680766,43,2584.655968
1.97951,162,2616.256477
1.436395,149,2639.561553
1.382323,400,2721.434936
1.042683,32,2723.189965
3.768084,15,2724.563429
0.350985,32,2726.321502
1.968766,33,2728.117856
0.194849,31,2729.874255
1.020953,34,2732.430436
1.34798,37,2734.526508
0.176959,39,2736.676866
0.075993,50,2739.237402
6.1e-05,54,2741.971557
0.055134,51,2744.650453
5.7e-05,152,2759.710346
3.877872,452,3019.690783
0.852558,326,3080.273174
6.5e-05,20,3081.370584
6.7e-05,21,3082.530077
6e-05,23,3083.812319
6.4e-05,24,3085.128927
6.8e-05,24,3086.413374
1.2e-05,25,3087.895463
7.3e-05,25,3089.666033
0.0,28,3091.785943
0.0,38,3094.600347
0.0,40,3097.523165
0.162428,33,3099.817023
0.247497,54,3105.331361
0.623833,51,3110.261288
0.337921,44,3113.999295
1.336822,90,3121.358965
0.023597,42,3123.842218
0.0,38,3128.435162
0.092817,32,3130.391269
0.134263,36,3133.665837
7e-05,29,3135.532445
0.0,29,3137.512614
6.9e-05,26,3139.092242
1.5e-05,33,3141.428042
0.0,31,3143.706465
0.0,34,3146.086821
0.008159,253,3166.474812
3.5e-05,73,3170.698571
5.2e-05,59,3174.099099
9.1e-05,56,3183.72812
7.5e-05,36,3187.373985
3.1e-05,43,3191.752904
7.8e-05,41,3196.059887
5.3e-05,100,3203.467844
7.6e-05,67,3207.578885
6.7e-05,99,3213.039496
4.5e-05,68,3216.978921
0.335834,206,3246.562958
0.079537,255,3272.602216
7.2e-05,117,3278.223968
0.037451,188,3309.885889
2.966863,400,3394.798847
1.691474,69,3400.404133
1.398694,108,3405.681774
1.497653,107,3415.116543
3.714299,117,3432.631241
2.197352,43,3435.277111
1.610793,30,3437.385382
2.223205,27,3440.112824
8e-05,24,3441.468456
5.3e-05,24,3442.888398
0.0,24,3444.485807
0.0,20,3446.031692
1.6e-05,21,3447.612158
5.1e-05,21,3449.230134
2.2e-05,20,3450.785341
1.8e-05,22,3452.278705
2.2e-05,37,3454.512917
0.0,28,3456.421471
0.0,22,3458.199219
0.0,22,3459.797561
7.2e-05,29,3461.827848
4.8e-05,22,3463.498955
2.1e-05,24,3465.275763
1.2e-05,21,3466.996712
6.6e-05,29,3469.194199
0.0,102,3479.928519
3.6522,164,3508.284208
2.543815,48,3511.040849
0.268555,182,3529.579045
0.841938,45,3532.66048
0.017504,77,3539.091245
0.761549,33,3541.15835
1.065069,34,3543.087555
0.902204,61,3546.836149
0.85398,400,3629.853484
1.021773,43,3632.550896
1.307589,43,3635.162832
0.504162,92,3645.235882
2.454814,356,3900.500972
0.0,25,3902.290879
3e-06,13,3903.145455
7.2e-05,14,3903.952352
7.7e-05,17,3904.986986
7.7e-05,16,3905.949445
7.7e-05,16,3906.938257
8e-05,14,3907.785342
8.3e-05,14,3908.63145
6.5e-05,16,3909.598764
7.8e-05,18,3910.716403
7.7e-05,14,3911.581331
